Reading ;Start Time ;Duration ;Max Time ;Max ;;Average ;;Min Time ;Min;;Description ;Stop Time
140;22.5.2014 14:04:51;00:00:01;22.5.2014 14:04:51;0,000;VAC;0,000;VAC;22.5.2014 14:04:51;0,000;VAC;;22.5.2014 14:04:52
141;22.5.2014 14:04:52;00:00:01;22.5.2014 14:04:52;0,000;VAC;0,000;VAC;22.5.2014 14:04:52;0,000;VAC;;22.5.2014 14:04:53
142;22.5.2014 14:04:53;00:00:01;22.5.2014 14:04:53;0,000;VAC;0,000;VAC;22.5.2014 14:04:53;0,000;VAC;;22.5.2014 14:04:54
143;22.5.2014 14:04:54;00:00:01;22.5.2014 14:04:54;0,000;VAC;0,000;VAC;22.5.2014 14:04:54;0,000;VAC;;22.5.2014 14:04:55
144;22.5.2014 14:04:55;00:00:01;22.5.2014 14:04:55;0,000;VAC;0,000;VAC;22.5.2014 14:04:55;0,000;VAC;;22.5.2014 14:04:56
145;22.5.2014 14:04:56;00:00:01;22.5.2014 14:04:56;0,000;VAC;0,000;VAC;22.5.2014 14:04:56;0,000;VAC;;22.5.2014 14:04:57
146;22.5.2014 14:04:57;00:00:01;22.5.2014 14:04:57;0,000;VAC;0,000;VAC;22.5.2014 14:04:57;0,000;VAC;;22.5.2014 14:04:58
147;22.5.2014 14:04:58;00:00:01;22.5.2014 14:04:58;0,000;VAC;0,000;VAC;22.5.2014 14:04:58;0,000;VAC;;22.5.2014 14:04:59
148;22.5.2014 14:04:59;00:00:01;22.5.2014 14:04:59;0,000;VAC;0,000;VAC;22.5.2014 14:04:59;0,000;VAC;;22.5.2014 14:05:00
149;22.5.2014 14:05:00;00:00:01;22.5.2014 14:05:00;0,000;VAC;0,000;VAC;22.5.2014 14:05:00;0,000;VAC;;22.5.2014 14:05:01
150;22.5.2014 14:05:01;00:00:01;22.5.2014 14:05:01;0,000;VAC;0,000;VAC;22.5.2014 14:05:01;0,000;VAC;;22.5.2014 14:05:02
151;22.5.2014 14:05:02;00:00:01;22.5.2014 14:05:02;0,000;VAC;0,000;VAC;22.5.2014 14:05:02;0,000;VAC;;22.5.2014 14:05:03
152;22.5.2014 14:05:03;00:00:01;22.5.2014 14:05:03;0,000;VAC;0,000;VAC;22.5.2014 14:05:03;0,000;VAC;;22.5.2014 14:05:04
153;22.5.2014 14:05:04;00:00:01;22.5.2014 14:05:04;0,000;VAC;0,000;VAC;22.5.2014 14:05:04;0,000;VAC;;22.5.2014 14:05:05
154;22.5.2014 14:05:05;00:00:01;22.5.2014 14:05:05;0,000;VAC;0,000;VAC;22.5.2014 14:05:05;0,000;VAC;;22.5.2014 14:05:06
155;22.5.2014 14:05:06;00:00:01;22.5.2014 14:05:06;0,000;VAC;0,000;VAC;22.5.2014 14:05:06;0,000;VAC;;22.5.2014 14:05:07
156;22.5.2014 14:05:07;00:00:01;22.5.2014 14:05:07;0,000;VAC;0,000;VAC;22.5.2014 14:05:07;0,000;VAC;;22.5.2014 14:05:08
157;22.5.2014 14:05:08;00:00:01;22.5.2014 14:05:08;0,000;VAC;0,000;VAC;22.5.2014 14:05:08;0,000;VAC;;22.5.2014 14:05:09
158;22.5.2014 14:05:09;00:00:01;22.5.2014 14:05:09;0,000;VAC;0,000;VAC;22.5.2014 14:05:09;0,000;VAC;;22.5.2014 14:05:10
159;22.5.2014 14:05:10;00:00:01;22.5.2014 14:05:10;0,000;VAC;0,000;VAC;22.5.2014 14:05:10;0,000;VAC;;22.5.2014 14:05:11
160;22.5.2014 14:05:11;00:00:01;22.5.2014 14:05:11;0,000;VAC;0,000;VAC;22.5.2014 14:05:11;0,000;VAC;;22.5.2014 14:05:12
161;22.5.2014 14:05:12;00:00:01;22.5.2014 14:05:12;0,000;VAC;0,000;VAC;22.5.2014 14:05:12;0,000;VAC;;22.5.2014 14:05:13
